created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2024-11-29T17:28:04+05:30,1,-127.00000,192,2219,-90.30369,116,117,91,,,,,
2024-11-29T17:28:22+05:30,2,-127.00000,199,2214,-90.30369,118,118,91,,,,,
2024-11-29T17:28:45+05:30,3,-127.00000,192,2106,-90.30369,125,125,96,,,,,
2024-11-29T17:29:06+05:30,4,-127.00000,183,1955,-90.30369,113,111,85,,,,,
2024-11-29T17:29:24+05:30,5,-127.00000,0,2068,-90.30369,118,120,93,,,,,
2024-11-29T17:29:42+05:30,6,-127.00000,0,2083,-90.30369,119,120,93,,,,,
2024-11-29T17:30:04+05:30,7,-127.00000,99,1872,-56.17204,119,120,93,,,,,
2024-11-29T17:30:24+05:30,8,-127.00000,0,2094,-90.30369,123,123,98,,,,,
2024-11-29T17:30:41+05:30,9,-127.00000,101,1862,-56.52504,120,120,92,,,,,
2024-11-29T17:31:06+05:30,10,-127.00000,123,2034,-55.84621,123,124,96,,,,,
2024-11-29T17:31:33+05:30,11,-127.00000,0,2005,-67.71217,124,124,95,,,,,
2024-11-29T17:31:53+05:30,12,-127.00000,99,2142,-73.27859,130,126,96,,,,,
2024-11-29T17:32:11+05:30,13,-127.00000,0,1874,-90.30369,127,125,95,,,,,
2024-11-29T17:32:27+05:30,14,-127.00000,80,1853,-73.22428,116,113,86,,,,,
2024-11-29T17:32:48+05:30,15,-127.00000,0,1669,-90.30369,110,110,84,,,,,
2024-11-29T17:33:06+05:30,16,-127.00000,2994,1605,-55.14022,115,117,91,,,,,
2024-11-29T17:33:23+05:30,17,-127.00000,2719,1123,-90.30369,112,116,91,,,,,
2024-11-29T17:33:38+05:30,18,-127.00000,2659,930,-65.29554,113,116,91,,,,,
2024-11-29T17:33:59+05:30,19,-127.00000,2960,1088,-90.30369,113,116,89,,,,,
2024-11-29T17:34:19+05:30,20,-127.00000,2613,859,-56.00912,116,120,94,,,,,
2024-11-29T17:34:42+05:30,21,-127.00000,2639,1683,-66.19160,122,126,99,,,,,
2024-11-29T17:35:03+05:30,22,-127.00000,2879,1742,-56.09058,155,164,128,,,,,
2024-11-29T17:35:25+05:30,23,-127.00000,3186,1824,-56.00912,167,188,149,,,,,
2024-11-29T17:35:45+05:30,24,-127.00000,3179,2059,-55.98197,166,186,147,,,,,
2024-11-29T17:36:06+05:30,25,-127.00000,3178,2034,-90.30369,165,185,147,,,,,
2024-11-29T17:36:27+05:30,26,-127.00000,2895,1798,-65.51276,227,236,184,,,,,
2024-11-29T17:36:45+05:30,27,-127.00000,2903,1818,-57.28532,115,114,90,,,,,
2024-11-29T17:37:03+05:30,28,-127.00000,2895,2064,-90.30369,119,119,95,,,,,
2024-11-29T17:37:24+05:30,29,-127.00000,2895,1871,-65.56707,420,487,380,,,,,
2024-11-29T17:37:45+05:30,30,-127.00000,0,2111,-90.30369,29,29,23,,,,,
2024-11-29T17:38:14+05:30,31,-127.00000,0,1813,-90.30369,257,250,185,,,,,
2024-11-29T17:38:32+05:30,32,-127.00000,96,1785,-73.38720,31,30,24,,,,,
2024-12-03T17:15:40+05:30,33,-127.00000,91,1535,-55.84621,64,63,50,,,,,
2024-12-03T17:16:01+05:30,34,-127.00000,0,1525,-90.30369,59,58,46,,,,,
2024-12-03T17:16:22+05:30,35,-127.00000,95,1744,-55.65613,59,59,47,,,,,
2024-12-03T17:16:42+05:30,36,-127.00000,0,1525,-90.30369,63,62,49,,,,,
2024-12-03T17:17:00+05:30,37,-127.00000,92,1746,-56.44358,59,59,47,,,,,
2024-12-03T17:17:18+05:30,38,-127.00000,0,1373,-65.02400,92,162,145,,,,,
2024-12-03T17:17:39+05:30,39,-127.00000,96,1596,-55.33029,89,100,91,,,,,
2024-12-03T17:18:00+05:30,40,-127.00000,0,1530,-90.30369,141,223,194,,,,,
2024-12-03T17:18:21+05:30,41,-127.00000,0,1724,-55.65613,55,55,44,,,,,
2024-12-03T17:18:40+05:30,42,-127.00000,2420,2427,-90.30369,107,125,101,,,,,
2024-12-03T17:19:00+05:30,43,-127.00000,0,1698,-72.95275,62,61,48,,,,,
2024-12-03T17:19:21+05:30,44,-127.00000,0,1737,-56.00912,59,59,46,,,,,
2024-12-03T17:19:42+05:30,45,-127.00000,80,1523,-90.30369,59,59,47,,,,,
2024-12-03T17:20:03+05:30,46,-127.00000,81,1523,-90.30369,59,59,47,,,,,
2024-12-03T17:20:24+05:30,47,-127.00000,0,1524,-90.30369,60,59,47,,,,,
2024-12-03T17:20:45+05:30,48,-127.00000,0,1712,-90.30369,60,59,47,,,,,
2024-12-03T17:21:06+05:30,49,-127.00000,84,1520,-90.30369,60,60,47,,,,,
2024-12-03T17:21:27+05:30,50,-127.00000,0,1510,-90.30369,64,63,49,,,,,
2024-12-03T17:21:48+05:30,51,-127.00000,0,1627,-90.30369,60,59,47,,,,,
2024-12-03T17:22:09+05:30,52,-127.00000,75,1424,-90.30369,62,62,49,,,,,
2024-12-03T17:22:30+05:30,53,-127.00000,82,1424,-90.30369,62,62,50,,,,,
2024-12-03T17:23:53+05:30,54,-127.00000,0,1606,20.88889,63,62,50,9864.00000,,,,
2024-12-03T17:24:15+05:30,55,-127.00000,0,1619,-71.24210,64,64,51,10164.00000,,,,
2024-12-03T17:24:38+05:30,56,-127.00000,112,1383,-90.30369,64,64,51,10288.00000,,,,
2024-12-03T17:24:54+05:30,57,-127.00000,110,1388,-90.30369,64,63,51,10249.00000,,,,
2024-12-03T17:25:15+05:30,58,-127.00000,91,1369,-90.30369,66,65,51,7537.00000,,,,
2024-12-03T17:25:31+05:30,59,-127.00000,107,1614,-55.05876,62,61,49,11002.00000,,,,
2024-12-03T17:25:47+05:30,60,-127.00000,112,1380,-90.30369,62,60,48,6773.00000,,,,
2024-12-03T17:26:03+05:30,61,-127.00000,0,1613,-55.27599,62,60,48,6736.00000,,,,
2024-12-03T17:26:19+05:30,62,-127.00000,0,1616,-55.27599,62,60,48,6219.00000,,,,
2024-12-03T17:26:34+05:30,63,-127.00000,107,1390,-55.27599,62,60,48,6742.00000,,,,
2024-12-03T17:26:58+05:30,64,-127.00000,89,1379,-90.30369,64,65,51,7366.00000,,,,
2024-12-03T17:27:21+05:30,65,-127.00000,112,1388,-54.51570,64,64,50,7366.00000,,,,
2024-12-03T17:27:36+05:30,66,-127.00000,111,1391,-90.30369,62,62,49,18629.00000,,,,
2024-12-03T17:27:52+05:30,67,-127.00000,112,1402,-55.62898,72,82,66,3028.00000,,,,
2024-12-03T17:28:08+05:30,68,-127.00000,0,1710,-90.30369,105,127,106,2774.00000,,,,
2024-12-03T17:28:31+05:30,69,-127.00000,110,1707,-74.55479,45,46,37,4056.00000,,,,
2024-12-03T17:28:47+05:30,70,-127.00000,106,1490,-90.30369,65,66,52,13492.00000,,,,
2024-12-03T17:29:03+05:30,71,-127.00000,0,1483,-90.30369,119,147,119,3100.00000,,,,
2024-12-03T17:29:18+05:30,72,-127.00000,110,1738,-55.14022,99,114,93,2961.00000,,,,
2024-12-03T17:35:57+05:30,73,-127.00000,100,1490,19.17823,82,82,65,2664.00000,,,,
2024-12-03T17:36:13+05:30,74,-127.00000,0,4095,-59.07744,82,75,58,5515.00000,,,,
2024-12-03T17:36:28+05:30,75,-127.00000,109,1522,-90.30369,46,45,35,2717.00000,,,,
2024-12-03T17:36:44+05:30,76,-127.00000,0,1756,-55.27599,42,43,33,3159.00000,,,,
2024-12-03T17:38:49+05:30,77,-127.00000,0,1727,20.37298,64,63,50,6100.00000,,,,
2024-12-03T17:39:05+05:30,78,-127.00000,0,1515,-64.69817,160,187,145,19924.00000,,,,
2024-12-03T17:39:21+05:30,79,-127.00000,0,1514,-62.71598,192,217,166,10230.00000,,,,
2024-12-03T17:49:01+05:30,80,-127.00000,60,1531,-90.30369,77,77,61,11285.00000,,,,
2024-12-03T17:49:17+05:30,81,-127.00000,133,1771,-52.96796,96,102,80,15920.00000,,,,
2024-12-03T17:49:33+05:30,82,-127.00000,0,1766,-90.30369,105,107,83,15665.00000,,,,
2024-12-03T17:49:58+05:30,83,-127.00000,101,1701,-52.28913,108,110,86,13758.00000,,,,
2024-12-03T17:51:22+05:30,84,-127.00000,122,1728,-53.59248,105,108,84,13207.00000,,,,
2024-12-03T17:51:43+05:30,85,-127.00000,0,1489,-90.30369,104,107,83,14393.00000,,,,
2024-12-03T17:52:05+05:30,86,-127.00000,0,1709,-90.30369,104,107,84,15098.00000,,,,
2024-12-03T17:52:26+05:30,87,-127.00000,0,1482,-90.30369,108,111,87,12934.00000,,,,
2024-12-03T17:52:48+05:30,88,-127.00000,129,1750,-90.30369,256,312,250,6227.00000,,,,
2024-12-03T17:53:09+05:30,89,-127.00000,0,1744,-90.30369,104,105,82,7111.00000,,,,
2024-12-05T15:58:44+05:30,90,-127.00000,112,1535,-53.70110,63,85,72,29234.00000,,,,
2024-12-05T15:59:04+05:30,91,-127.00000,0,1535,-90.30369,64,87,72,6966.00000,,,,
2024-12-05T15:59:23+05:30,92,-127.00000,11,1527,-53.34810,79,102,84,8770.00000,,,,
2024-12-05T15:59:47+05:30,93,-127.00000,0,1529,-90.30369,75,98,81,8846.00000,,,,
2024-12-05T16:00:08+05:30,94,-127.00000,91,1520,-53.56533,75,98,82,8953.00000,,,,
2024-12-05T16:00:26+05:30,95,-127.00000,0,1776,-90.30369,74,97,79,8830.00000,,,,
2024-12-05T16:00:50+05:30,96,-127.00000,115,1769,-90.30369,98,117,94,9028.00000,,,,
2024-12-05T16:01:11+05:30,97,-127.00000,0,1731,-90.30369,102,118,95,8826.00000,,,,
2024-12-05T16:01:29+05:30,98,-127.00000,0,1532,-90.30369,66,89,74,8923.00000,,,,
2024-12-05T16:01:54+05:30,99,-127.00000,116,1535,-53.32095,65,88,73,8893.00000,,,,
2024-12-05T16:02:15+05:30,100,-127.00000,119,1523,-53.21234,77,98,82,8937.00000,,,,
2024-12-05T16:03:07+05:30,101,-127.00000,113,1534,-52.85934,80,101,83,8859.00000,,,,
2024-12-05T16:03:28+05:30,102,-127.00000,117,1775,-53.13088,77,98,81,8843.00000,,,,
2024-12-05T16:03:49+05:30,103,-127.00000,119,1535,-53.72825,81,102,84,8844.00000,,,,
2024-12-05T16:04:10+05:30,104,-127.00000,117,1749,-53.56533,97,115,96,8807.00000,,,,
2024-12-05T16:04:31+05:30,105,-127.00000,235,1535,-53.70110,80,102,83,8923.00000,,,,
2024-12-05T16:29:15+05:30,106,-127.00000,0,1747,-90.30369,86,105,85,7464.00000,,,,
2024-12-05T16:29:32+05:30,107,-127.00000,0,1743,-90.30369,62,69,55,3219.00000,,,,
2024-12-05T16:29:58+05:30,108,-127.00000,149,1739,-54.40709,65,74,60,3386.00000,,,,
